Address,PropertyUse,XCoord,YCoord,K12_est,K-12_by_point
2345 Carling Dr Unit 1,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2345 Carling Dr Unit 2,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2345 Carling Dr Unit 3,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2345 Carling Dr Unit 4,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2309 Carling Dr,Condominium,800650.9166867,465776.52581326,0.005573978691878922,43.13702109645097
2325 Carling Dr Unit 1,Condominium,800650.9166867,465776.52581326,1.6777675862555554,43.13702109645097
2325 Carling Dr Unit 2,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2325 Carling Dr Unit 3,Condominium,800650.9166867,465776.52581326,1.6777675862555554,43.13702109645097
2333 Carling Dr Unit 2,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
2309 Carling Dr Unit 4,Condominium,800650.9166867,465776.52581326,1.1203697170676632,43.13702109645097
1910 Windom Way,Single family,827835.47094458,501831.24205049,42.58167330677291,42.58167330677291
1129 Petra Pl Unit 1,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1125 Petra Pl Unit 3,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1125 Petra Pl Unit 1,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1121 Petra Pl Unit 4,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1121 Petra Pl Unit 3,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1121 Petra Pl Unit 2,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1121 Petra Pl Unit 1,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1129 Petra Pl,Condominium,816161.93473804,468868.0828442,0.006229335377833153,40.073314485600655
1149 Petra Pl Unit 4,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1149 Petra Pl Unit 3,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1141 Petra Pl Unit 1,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1149 Petra Pl Unit 2,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1149 Petra Pl Unit 1,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1145 Petra Pl Unit 4,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1145 Petra Pl Unit 3,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1145 Petra Pl Unit 2,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1145 Petra Pl Unit 1,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1141 Petra Pl Unit 4,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1141 Petra Pl Unit 3,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1141 Petra Pl Unit 2,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1125 Petra Pl Unit 4,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1133 Petra Pl Unit 3,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1129 Petra Pl Unit 2,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1133 Petra Pl Unit 4,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1129 Petra Pl Unit 3,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1137 Petra Pl Unit 4,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1137 Petra Pl Unit 3,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1137 Petra Pl Unit 2,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1137 Petra Pl Unit 1,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1125 Petra Pl Unit 2,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1133 Petra Pl Unit 1,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1129 Petra Pl Unit 4,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1133 Petra Pl Unit 2,Condominium,816161.93473804,468868.0828442,1.2520964109444634,40.073314485600655
1045 E Dayton St,Vacant,824356.31228943,486721.81114462,40.0,40.0
2446 Independence Ln Unit P8,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2450 Independence Ln Unit P4,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2446 Independence Ln Unit P2,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2446 Independence Ln Unit P3,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2446 Independence Ln Unit P4,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2446 Independence Ln Unit P5,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2450 Independence Ln Unit P6,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2450 Independence Ln Unit P5,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2450 Independence Ln Unit P1,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2450 Independence Ln Unit P3,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2450 Independence Ln Unit P2,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2446 Independence Ln Unit P12,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2446 Independence Ln Unit P11,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2446 Independence Ln Unit P10,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2446 Independence Ln Unit P9,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2446 Independence Ln Unit P7,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2446 Independence Ln Unit P6,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2446 Independence Ln Unit P1,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
2450 Independence Ln Unit P8,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
4318 Melody Ln Unit 2,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4320 Melody Ln Unit 106,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4320 Melody Ln Unit 105,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4318 Melody Ln Unit 104,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4318 Melody Ln Unit 103,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
4318 Melody Ln Unit 102,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4318 Melody Ln Unit 101,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
4322 Melody Ln Unit 6,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
4322 Melody Ln Unit 5,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4320 Melody Ln Unit 4,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4320 Melody Ln Unit 3,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4318 Melody Ln Unit 1,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
2442 Independence Ln Unit P10,Condominium,841065.9400574,503834.33067209,0.0007727145892807351,36.00000000000042
4314 Melody Ln Unit 208,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
4314 Melody Ln Unit 207,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4314 Melody Ln Unit 206,Condominium,841065.9400574,503834.33067209,0.15531563244542773,36.00000000000042
4314 Melody Ln Unit 205,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
4316 Melody Ln Unit 204,Condominium,841065.9400574,503834.33067209,0.07804417351735425,36.00000000000042
